time,cwnd
0,1
0.1,2
0.2,4
0.3,8
0.4,16
0.5,32
0.6,64
0.7,128
0.8,256
0.9,512
1,1024
1.1,1025
1.2,1026
1.3,1027
1.4,1028
1.5,1029
1.6,1030
1.7,1031
1.8,1032
1.9,1033
2,1034
2.1,1035
2.2,1036
2.3,1037
2.4,1038
2.5,1039
2.6,1040
2.7,1041
2.8,1042
2.9,1043
3,1044
3.1,1045
3.2,1046
3.3,1047
3.4,1048
3.5,1049
3.6,1050
3.7,1051
3.8,1052
3.9,1053
4,1054
4.1,1055
4.2,1056
4.3,1057
4.4,1058
4.5,1059
4.6,1060
4.7,1061
4.8,1062
4.9,1063
5,1064
5.1,1065
5.2,1066
5.3,1067
5.4,1068
5.5,1069
5.6,1070
5.7,1071
5.8,1072
5.9,1073
6,1074
6.1,1075
6.2,1076
6.3,1077
6.4,1078
6.5,1079
6.6,1080
6.7,1081
6.8,1082
6.9,1083
7,1084
7.1,1085
7.2,1086
7.3,1087
7.4,1088
7.5,1089
7.6,1090
7.7,1091
7.8,1092
7.9,1093
8,1094
8.1,1095
8.2,1096
8.3,1097
8.4,1098
8.5,1099
8.6,1100
8.7,1101
8.8,1102
8.9,1103
9,1104
9.1,1105
9.2,1106
9.3,1107
9.4,1108
9.5,1109
9.6,1110
9.7,1111
9.8,1112
9.9,1113
10,1114
10.1,1115
10.2,1116
10.3,1117
10.4,1118
10.5,1119
10.6,1120
10.7,1121
10.8,1122
10.9,1123
11,1124
11.1,1125
11.2,1126
11.3,1127
11.4,1128
11.5,1129
11.6,1130
11.7,1131
11.8,1132
11.9,1133
12,1134
12.1,1135
12.2,1136
12.3,1137
12.4,1138
12.5,1139
12.6,1140
12.7,1141
12.8,1142
12.9,1143
13,1144
13.1,1145
13.2,1146
13.3,1147
13.4,1148
13.5,1149
13.6,1150
13.7,1151
13.8,1152
13.9,1153
14,1154
14.1,1155
14.2,1156
14.3,1157
14.4,1158
14.5,1159
14.6,1160
14.7,1161
14.8,1162
14.9,1163
15,1164
15.1,1165
15.2,1166
15.3,1167
15.4,1168
15.5,1169
15.6,1170
15.7,1171
15.8,1172
15.9,1173
16,1174
16.1,1175
16.2,1176
16.3,1177
16.4,1178
16.5,1179
16.6,1180
16.7,1181
16.8,1182
16.9,1183
17,1184
17.1,1185
17.2,1186
17.3,1187
17.4,1188
17.5,1189
17.6,1190
17.7,1191
17.8,1192
17.9,1193
18,1194
18.1,1195
18.2,1196
18.3,1197
18.4,1198
18.5,1199
18.6,1200
18.7,1201
18.8,1202
18.9,1203
19,1204
19.1,1205
19.2,1206
19.3,1207
19.4,1208
19.5,1209
19.6,1210
19.7,1211
19.8,1212
19.9,1213
